Time,X(CH1),X(CH2),
Second,Volt,Volt,
-6.2693584e-01,-0.00000e+00,1.54000e-01,
-6.2664288e-01,2.00001e-01,1.54000e-01,
-6.2634993e-01,-0.00000e+00,1.54000e-01,
-6.2605697e-01,2.00001e-01,1.54000e-01,
-6.2576401e-01,-0.00000e+00,1.50000e-01,
-6.2547106e-01,-0.00000e+00,1.52000e-01,
-6.2517810e-01,-0.00000e+00,1.52000e-01,
-6.2488514e-01,-0.00000e+00,1.54000e-01,
-6.2459219e-01,-0.00000e+00,1.52000e-01,
-6.2429923e-01,2.00001e-01,1.54000e-01,
-6.2400627e-01,-0.00000e+00,1.54000e-01,
-6.2371331e-01,2.00001e-01,1.52000e-01,
-6.2342036e-01,2.00001e-01,1.52000e-01,
-6.2312740e-01,-0.00000e+00,1.52000e-01,
-6.2283444e-01,-0.00000e+00,1.50000e-01,
-6.2254149e-01,-0.00000e+00,1.54000e-01,
-6.2224853e-01,-0.00000e+00,1.52000e-01,
-6.2195557e-01,2.00001e-01,1.54000e-01,
-6.2166262e-01,-0.00000e+00,1.54000e-01,
-6.2136966e-01,2.00001e-01,1.52000e-01,
-6.2107670e-01,-0.00000e+00,1.50000e-01,
-6.2078375e-01,-0.00000e+00,1.50000e-01,
-6.2049079e-01,-0.00000e+00,1.50000e-01,
-6.2019783e-01,-0.00000e+00,1.50000e-01,
-6.1990488e-01,-0.00000e+00,1.50000e-01,
-6.1961192e-01,-0.00000e+00,1.46000e-01,
-6.1931896e-01,2.00001e-01,1.46000e-01,
-6.1902601e-01,-0.00000e+00,1.50000e-01,
-6.1873305e-01,-0.00000e+00,1.50000e-01,
-6.1844009e-01,-0.00000e+00,1.48000e-01,
-6.1814713e-01,-0.00000e+00,1.50000e-01,
-6.1785418e-01,2.00001e-01,1.48000e-01,
-6.1756122e-01,-0.00000e+00,1.50000e-01,
-6.1726826e-01,2.00001e-01,1.48000e-01,
-6.1697531e-01,-0.00000e+00,1.48000e-01,
-6.1668235e-01,2.00001e-01,1.48000e-01,
-6.1638939e-01,-0.00000e+00,1.48000e-01,
-6.1609644e-01,-0.00000e+00,1.48000e-01,
-6.1580348e-01,-0.00000e+00,1.50000e-01,
-6.1551052e-01,-0.00000e+00,1.50000e-01,
-6.1521757e-01,-0.00000e+00,1.50000e-01,
-6.1492461e-01,2.00001e-01,1.50000e-01,
-6.1463165e-01,2.00001e-01,1.52000e-01,
-6.1433870e-01,2.00001e-01,1.54000e-01,
-6.1404574e-01,-0.00000e+00,1.52000e-01,
-6.1375278e-01,-0.00000e+00,1.54000e-01,
-6.1345983e-01,2.00001e-01,1.56000e-01,
-6.1316687e-01,-0.00000e+00,1.54000e-01,
-6.1287391e-01,-0.00000e+00,1.58000e-01,
-6.1258096e-01,2.00001e-01,1.54000e-01,
-6.1228800e-01,-0.00000e+00,1.54000e-01,
-6.1199504e-01,-0.00000e+00,1.56000e-01,
-6.1170208e-01,-0.00000e+00,1.54000e-01,
-6.1140913e-01,-0.00000e+00,1.54000e-01,
-6.1111617e-01,-0.00000e+00,1.56000e-01,
-6.1082321e-01,-0.00000e+00,1.54000e-01,
-6.1053026e-01,-0.00000e+00,1.56000e-01,
-6.1023730e-01,-0.00000e+00,1.54000e-01,
-6.0994434e-01,-0.00000e+00,1.56000e-01,
-6.0965139e-01,-0.00000e+00,1.58000e-01,
-6.0935843e-01,2.00001e-01,1.58000e-01,
-6.0906547e-01,2.00001e-01,1.56000e-01,
-6.0877252e-01,2.00001e-01,1.56000e-01,
-6.0847956e-01,-0.00000e+00,1.54000e-01,
-6.0818660e-01,-0.00000e+00,1.56000e-01,
-6.0789365e-01,-0.00000e+00,1.56000e-01,
-6.0760069e-01,-0.00000e+00,1.54000e-01,
-6.0730773e-01,-0.00000e+00,1.54000e-01,
-6.0701478e-01,-0.00000e+00,1.56000e-01,
-6.0672182e-01,-0.00000e+00,1.56000e-01,
-6.0642886e-01,-0.00000e+00,1.58000e-01,
-6.0613590e-01,-0.00000e+00,1.56000e-01,
-6.0584295e-01,-0.00000e+00,1.54000e-01,
-6.0554999e-01,2.00001e-01,1.54000e-01,
-6.0525703e-01,-0.00000e+00,1.54000e-01,
-6.0496408e-01,-0.00000e+00,1.54000e-01,
-6.0467112e-01,-0.00000e+00,1.50000e-01,
-6.0437816e-01,2.00001e-01,1.54000e-01,
-6.0408521e-01,2.00001e-01,1.50000e-01,
-6.0379225e-01,-0.00000e+00,1.56000e-01,
-6.0349929e-01,2.00001e-01,1.50000e-01,
-6.0320634e-01,-0.00000e+00,1.50000e-01,
-6.0291338e-01,2.00001e-01,1.50000e-01,
-6.0262042e-01,2.00001e-01,1.50000e-01,
-6.0232747e-01,-0.00000e+00,1.50000e-01,
-6.0203451e-01,-0.00000e+00,1.50000e-01,
-6.0174155e-01,2.00001e-01,1.50000e-01,
-6.0144860e-01,2.00001e-01,1.50000e-01,
-6.0115564e-01,2.00001e-01,1.50000e-01,
-6.0086268e-01,2.00001e-01,1.50000e-01,
-6.0056973e-01,-0.00000e+00,1.52000e-01,
-6.0027677e-01,-0.00000e+00,1.54000e-01,
-5.9998381e-01,2.00001e-01,1.54000e-01,
-5.9969085e-01,2.00001e-01,1.54000e-01,
-5.9939790e-01,-0.00000e+00,1.54000e-01,
-5.9910494e-01,-0.00000e+00,1.54000e-01,
-5.9881198e-01,-0.00000e+00,1.56000e-01,
-5.9851903e-01,2.00001e-01,1.56000e-01,
-5.9822607e-01,-0.00000e+00,1.56000e-01,
-5.9793311e-01,-0.00000e+00,1.58000e-01,
-5.9764016e-01,2.00001e-01,1.58000e-01,
-5.9734720e-01,-0.00000e+00,1.58000e-01,
-5.9705424e-01,-0.00000e+00,1.58000e-01,
-5.9676129e-01,-0.00000e+00,1.58000e-01,
-5.9646833e-01,2.00001e-01,1.58000e-01,
-5.9617537e-01,-0.00000e+00,1.58000e-01,
-5.9588242e-01,-0.00000e+00,1.58000e-01,
-5.9558946e-01,-0.00000e+00,1.56000e-01,
-5.9529650e-01,-0.00000e+00,1.58000e-01,
-5.9500355e-01,-0.00000e+00,1.58000e-01,
-5.9471059e-01,2.00001e-01,1.58000e-01,
-5.9441763e-01,2.00001e-01,1.58000e-01,
-5.9412467e-01,2.00001e-01,1.58000e-01,
-5.9383172e-01,-0.00000e+00,1.58000e-01,
-5.9353876e-01,-0.00000e+00,1.58000e-01,
-5.9324580e-01,-0.00000e+00,1.58000e-01,
-5.9295285e-01,-0.00000e+00,1.58000e-01,
-5.9265989e-01,-0.00000e+00,1.58000e-01,
-5.9236693e-01,-0.00000e+00,1.58000e-01,
-5.9207398e-01,2.00001e-01,1.56000e-01,
-5.9178102e-01,-0.00000e+00,1.58000e-01,
-5.9148806e-01,2.00001e-01,1.56000e-01,
-5.9119511e-01,-0.00000e+00,1.58000e-01,
-5.9090215e-01,2.00001e-01,1.56000e-01,
-5.9060919e-01,-0.00000e+00,1.56000e-01,
-5.9031624e-01,-0.00000e+00,1.56000e-01,
-5.9002328e-01,-0.00000e+00,1.56000e-01,
-5.8973032e-01,-0.00000e+00,1.54000e-01,
-5.8943737e-01,-0.00000e+00,1.58000e-01,
-5.8914441e-01,2.00001e-01,1.56000e-01,
-5.8885145e-01,-0.00000e+00,1.54000e-01,
-5.8855850e-01,-0.00000e+00,1.54000e-01,
-5.8826554e-01,-0.00000e+00,1.54000e-01,
-5.8797258e-01,2.00001e-01,1.52000e-01,
-5.8767962e-01,-0.00000e+00,1.52000e-01,
-5.8738667e-01,-0.00000e+00,1.52000e-01,
-5.8709371e-01,-0.00000e+00,1.52000e-01,
-5.8680075e-01,-0.00000e+00,1.54000e-01,
-5.8650780e-01,-0.00000e+00,1.54000e-01,
-5.8621484e-01,-0.00000e+00,1.54000e-01,
-5.8592188e-01,-0.00000e+00,1.54000e-01,
-5.8562893e-01,-0.00000e+00,1.50000e-01,
-5.8533597e-01,-0.00000e+00,1.56000e-01,
-5.8504301e-01,2.00001e-01,1.56000e-01,
-5.8475006e-01,-0.00000e+00,1.56000e-01,
-5.8445710e-01,-0.00000e+00,1.58000e-01,
-5.8416414e-01,-0.00000e+00,1.58000e-01,
-5.8387119e-01,-0.00000e+00,1.58000e-01,
-5.8357823e-01,-0.00000e+00,1.58000e-01,
-5.8328527e-01,2.00001e-01,1.58000e-01,
-5.8299232e-01,-0.00000e+00,1.58000e-01,
-5.8269936e-01,-0.00000e+00,1.58000e-01,
-5.8240640e-01,2.00001e-01,1.60000e-01,
-5.8211344e-01,-0.00000e+00,1.60000e-01,
-5.8182049e-01,-0.00000e+00,1.58000e-01,
-5.8152753e-01,-0.00000e+00,1.60000e-01,
-5.8123457e-01,-0.00000e+00,1.60000e-01,
-5.8094162e-01,-0.00000e+00,1.60000e-01,
-5.8064866e-01,-0.00000e+00,1.58000e-01,
-5.8035570e-01,-0.00000e+00,1.60000e-01,
-5.8006275e-01,2.00001e-01,1.60000e-01,
-5.7976979e-01,-0.00000e+00,1.58000e-01,
-5.7947683e-01,-0.00000e+00,1.60000e-01,
-5.7918388e-01,-0.00000e+00,1.58000e-01,
-5.7889092e-01,-0.00000e+00,1.58000e-01,
-5.7859796e-01,2.00001e-01,1.58000e-01,
-5.7830501e-01,2.00001e-01,1.58000e-01,
-5.7801205e-01,2.00001e-01,1.58000e-01,
-5.7771909e-01,2.00001e-01,1.60000e-01,
-5.7742614e-01,-0.00000e+00,1.58000e-01,
-5.7713318e-01,-0.00000e+00,1.60000e-01,
-5.7684022e-01,-0.00000e+00,1.60000e-01,
-5.7654727e-01,-0.00000e+00,1.62000e-01,
-5.7625431e-01,-0.00000e+00,1.62000e-01,
-5.7596135e-01,-0.00000e+00,1.56000e-01,
-5.7566839e-01,-0.00000e+00,1.58000e-01,
-5.7537544e-01,-0.00000e+00,1.58000e-01,
-5.7508248e-01,-0.00000e+00,1.58000e-01,
-5.7478952e-01,-0.00000e+00,1.58000e-01,
-5.7449657e-01,-0.00000e+00,1.56000e-01,
-5.7420361e-01,2.00001e-01,1.58000e-01,
-5.7391065e-01,-0.00000e+00,1.58000e-01,
